timestamp,product_name,field,items_json
2026-04-15T09:32:18,کانتور,نوع کالا,"[""تک رنگ"", ""ماتیکی"", ""مایع"", ""مدادی"", ""پالت""]"
2026-04-15T09:32:18,کانتور,دسته بندی کالا,"[""پالت کانتور"", ""کانتور""]"
2026-04-15T09:32:18,کانتور,مبدا کالا,"[""ایرانی"", ""خارجی""]"
2026-04-15T09:32:18,کانتور,شناسه عمومی,"[""۲۷۲۰۰۰۰۱۶۳۱۲۰(هایلایتر لوازم آرایشی - شناسه عمومی تولید داخل)"", ""۲۷۱۰۰۰۰۱۶۳۱۲۱(هایلایتر لوازم آرایشی - شناسه عمومی وارداتی)""]"
2026-04-15T09:35:03,هایلایتر,نوع کالا,"[""تک رنگ"", ""ماتیکی"", ""مایع"", ""مدادی"", ""پالت""]"
2026-04-15T09:35:03,هایلایتر,دسته بندی کالا,"[""لومینایزر"", ""هایلایتر""]"
2026-04-15T09:35:03,هایلایتر,مبدا کالا,"[""ایرانی"", ""خارجی""]"
2026-04-15T09:35:03,هایلایتر,شناسه عمومی,"[""۲۷۲۰۰۰۰۱۶۳۱۲۰(هایلایتر لوازم آرایشی - شناسه عمومی تولید داخل)"", ""۲۷۱۰۰۰۰۱۶۳۱۲۱(هایلایتر لوازم آرایشی - شناسه عمومی وارداتی)""]"
2026-04-15T09:53:37,کانتور,نوع کالا,"[""تک رنگ"", ""ماتیکی"", ""مایع"", ""مدادی"", ""پالت""]"
2026-04-15T09:53:37,کانتور,دسته بندی کالا,"[""پالت کانتور"", ""کانتور""]"
2026-04-15T09:53:37,کانتور,مبدا کالا,"[""ایرانی"", ""خارجی""]"
2026-04-15T09:53:37,کانتور,شناسه عمومی,"[""۲۷۲۰۰۰۰۱۶۳۱۲۰(هایلایتر لوازم آرایشی - شناسه عمومی تولید داخل)"", ""۲۷۱۰۰۰۰۱۶۳۱۲۱(هایلایتر لوازم آرایشی - شناسه عمومی وارداتی)""]"
2026-04-15T09:56:17,هایلایتر,نوع کالا,"[""تک رنگ"", ""ماتیکی"", ""مایع"", ""مدادی"", ""پالت""]"
2026-04-15T09:56:17,هایلایتر,دسته بندی کالا,"[""لومینایزر"", ""هایلایتر""]"
2026-04-15T09:56:17,هایلایتر,مبدا کالا,"[""ایرانی"", ""خارجی""]"
2026-04-15T09:56:17,هایلایتر,شناسه عمومی,"[""۲۷۲۰۰۰۰۱۶۳۱۲۰(هایلایتر لوازم آرایشی - شناسه عمومی تولید داخل)"", ""۲۷۱۰۰۰۰۱۶۳۱۲۱(هایلایتر لوازم آرایشی - شناسه عمومی وارداتی)""]"
2026-04-15T14:18:00,کانتور,نوع کالا,"[""تک رنگ"", ""ماتیکی"", ""مایع"", ""مدادی"", ""پالت""]"
2026-04-15T14:18:00,کانتور,دسته بندی کالا,"[""پالت کانتور"", ""کانتور""]"
2026-04-15T14:18:00,کانتور,مبدا کالا,"[""ایرانی"", ""خارجی""]"
2026-04-15T14:18:00,کانتور,شناسه عمومی,"[""۲۷۲۰۰۰۰۱۶۳۱۲۰(هایلایتر لوازم آرایشی - شناسه عمومی تولید داخل)"", ""۲۷۱۰۰۰۰۱۶۳۱۲۱(هایلایتر لوازم آرایشی - شناسه عمومی وارداتی)""]"
2026-04-15T14:20:57,هایلایتر,نوع کالا,"[""تک رنگ"", ""ماتیکی"", ""مایع"", ""مدادی"", ""پالت""]"
2026-04-15T14:20:57,هایلایتر,دسته بندی کالا,"[""لومینایزر"", ""هایلایتر""]"
2026-04-15T14:20:57,هایلایتر,مبدا کالا,"[""ایرانی"", ""خارجی""]"
2026-04-15T14:20:57,هایلایتر,شناسه عمومی,"[""۲۷۲۰۰۰۰۱۶۳۱۲۰(هایلایتر لوازم آرایشی - شناسه عمومی تولید داخل)"", ""۲۷۱۰۰۰۰۱۶۳۱۲۱(هایلایتر لوازم آرایشی - شناسه عمومی وارداتی)""]"
